user_id,msisdn,call_cnt_day,avg_actv_dur,iden_type_num,call_stu_cnt,rule1_burst_block,rule2_sim_farm,rule3_student_targeting,rule4_wangiri,rule5_social_engineering,any_rule_triggered
Qs3k5u3gdeuwiZIC3XlRl6l8vybPwo9eFEgBO8eiz8M=,JWem9Oa2NbNx8CxzdM09EQ==,15,111.2667,10,0,0,1,0,0,0,1
jHSiJKEdxq0n8Veo61NQ3Si50R481CmjPiuw3ubWbCA=,4npsnJHR2GYbzjxsNnnXPQ==,17,19.4667,10,0,0,1,0,0,0,1
oZSEijWIoQOTruooAZdszfuc1I981vR2DRB0ODujyWk=,k6SnnAsCqTHV51h/UCMzfQ==,63,93.2545,10,0,0,1,0,0,0,1
0RSal9Y16P/BX+8GK+Q9OyG18qGetde5ctRoQrB0EBo=,zmEl5T1nLFM9LpXEm6OMGg==,67,145.434,25,0,0,1,0,0,0,1
0cWZNYeWS7OcyNETd5M/DI7HmjcUDlDTU4/wgL90T48=,EYSetMNoB4nSKw43MV/cpA==,16,121.9333,10,0,0,1,0,0,0,1
B9/JlZvTAPfmA5urjXtYKLur7M7+Fgs8q+bv0zNNsOA=,ZBJ8FTUEgQ31109kSoGiQQ==,47,55.5263,10,0,0,1,0,0,0,1
PPuSqTXPfZ3XVHEttcTCqvuc1I981vR2DRB0ODujyWk=,Grsu0vzAuHI+HVlVE8u30g==,32,244.5,10,0,0,1,0,0,0,1
SMs/Ic10yk9PIWdsU7+I6Y7HmjcUDlDTU4/wgL90T48=,CEVBqhIJztj0apAdQjd6DQ==,55,73.9,17,0,0,1,0,0,0,1
b8RxQQX4z0PNjUdutjf6ImDHkZmRCJdvtX51GsI0XS0=,jckOr4qdJmzvA9xXHJRw4Q==,13,597.6923,10,0,0,1,0,0,0,1
ktxGf6lGM48RcLRjOMNjZTDqObYYM8sKrX4fe+VTes0=,cvH4XHAaWNAu7BRufPpurQ==,33,95.4516,10,0,0,1,0,0,0,1
oysa/881XyHp+y6Jm/0Z/vEPNkL7x7LjGDA+Fv3K2hY=,Ra58yks75ibX0CSVkh6MAg==,30,159.0357,10,0,0,1,0,0,0,1
K9bcRQLxf3rwJuk4oYuDqMSAOX1Q/R1st7hS1plL/SY=,5/sh3gWBqstXDokKHQzOyw==,23,100.0,10,0,0,1,0,0,0,1
VfuFTbIbviIh0HWt2gKB3hpBV+659nwopk3PNCNQMeo=,CeBk9e6LBTD7FShnYgBXPg==,6,174.1667,10,0,0,1,0,0,0,1
Yk8RxF396MPx/Hc33+JcjRCXhMaDw6Oxn1Z9RwLowV8=,oXJfCypNQsNEqPvyYTfpvg==,100,57.22,1,0,1,0,0,0,0,1
Zt1c8J7mRt/ETJP1SmEPav0H5L998vYXICT/cwfwYsY=,sSr4MyKT30tJq27HxHqbRQ==,16,150.7143,10,0,0,1,0,0,0,1
lOTVEi2vgyFaKd2fantIwTfp3nUE0V3qeDSyGRYimxM=,Fmcqeh+xJwr/v0eOOXBOnA==,35,230.069,10,0,0,1,0,0,0,1
