user_id,msisdn,risk_score,high_risk
DIlNoqjFtnhuWqE  wyV16BQ==,DHaUH2phngJVZ3mTHgZtiw==,0.26,0
gfNEG5YuR6qNjKZ+NbsxvA==,JN6ozzA8T/PI4Gvb1t94xQ==,0.35,1
n/P0GHzdZf9I+Gekdn+Kxw==,TLYTgnjLRvVlL72GXHWEQQ==,0.305,1
g1NvIBhSsOyfMTF6ovGt9w==,qO4agQAhHt75q0UCvpiyuQ==,0.305,1
pRDV76vH8IUMyyG/BHxHAA==,1sDbiutOSz70eOri1fgmAg==,0.35,1
Hw4RPmdkEXleNZdEawx+Nw==,pfvaOvl5R3z3jXJtW2nPYw==,0.305,1
Yhr57LiG4jVFF8pTTCOHCg==,JIgqutVYrg9szNPOSAWE6w==,0.26,0
Qh7sBoW/KhNTPQUEDSI5jQ==,xtv/z9deeS2koI5SzG7EOg==,0.26,0
ktt9YJuSxBJV/6CGSiy1ew==,hk2NyP5CKFfejSeuGiTywA==,0.26,0
cfzsPdXIIhVHRIYMFvvpxw==,HSo1YlMYGuEewX5JPPgxYQ==,0.26,0
3Uoa+c1jRPU6ETgzWCOfvQ==,tIGlRl2qenuMQQfm5LLdew==,0.26,0
VtmXmeVqXThDwuJl90QCLA==,wd5Zsr9oLgKh42MootmcIQ==,0.35,1
CXu15j+xVmfzUmqhfPDXBg==,HuvzRTOEujqnUI5y1T0lWg==,0.26,0
I12dUgaEcTgpaC+NU068Sw==,ICNRgbRgn4Sgkt7y/uSD/w==,0.26,0
3rPUL+QDFy9IFszR4Lt3og==,GXP78/+AZbpHAJdWRTS+dw==,0.35,1
jB2CLnaeSnE7uly8rqVgwg==,mTmH2uZP74CDvkbpiD0OMw==,0.35,1
4lH1FQ/qS8H3WMGlqwCbrA==,Gpg72d5J18oZAjwJ2o2DLg==,0.26,0
8vXYudnNxy0P+GIljIvKow==,38ZUKBQ8hLC84TRKJADLCA==,0.26,0
hZl+gxBKKcWBBfmkQWvWcg==,I2f9dB4vF489Oamm+RO6pg==,0.35,1
d0q+UmNnZ35QQEAEV92JUA==,0GCAL9fXbSlYc4obvVxEtQ==,0.35,1
+l6ZzyOV089v2/r3ATLMbA==,g6XFC/G7r4GlrFbIUk6mEA==,0.305,1
HZM0OHgO5v9ReNFGGCjOWg==,uywBXtCDWZvdX2GDxw4azw==,0.305,1
UqaX1DwLdGl2H0K7am4YVQ==,kMHVCEhRSNT0ap360wb14A==,0.35,1
AxytUPy1aVt4+972YKLopw==,rH5ZoFq6W17BzQqmfpdJgQ==,0.35,1
fEvzyg2tyJ5XIzA5JjTp8g==,lPdBnHsrk3BpNyKMSOoFqg==,0.26,0
1dAE8+bz5B1zkHNAe584Iw==,ePiI7tF9tc0W3Oh+TK3XpA==,0.305,1
5Wq2P4gt/nFdjPRUmTTuiQ==,tE2F6l/ky2SYjsyB15prGg==,0.26,0
f/Y3whLR0iUfXn9F0sLsJw==,IDXZ4K7PjSPtA9nqTQosKg==,0.26,0
KL+CURTKgmXqrX8v8lXzSg==,oIqPbHn9dCZyAq6HwtC4aQ==,0.305,1
wjPPt1/GNqaIBmWm+s/slg==,CCCSKk4aK4mp/6aG9XWLTQ==,0.305,1
EWdozzMTIo9nwKSzfjj/GQ==,Jkwo3UVCyDW0bFTt8VBnMg==,0.305,1
dnQb/iG5QJZ5yHd3B7X0dw==,Ptf96H6gla8f+p/ts8Gl0Q==,0.26,0
AAAENcLD+HCsdGtlTGfGFA==,gVJXhQoIVqPr/GYTzSNDPw==,0.305,1
rLESPK83p+yCRUv6qz2SjQ==,9CKDt8qijbS2EeUg/FVPwg==,0.305,1
ccrX0SYLN7LH8Gq/v2ybSA==,MAHOBoAUZzDK45LLq3P7Bw==,0.35,1
v2vDd1d/b1jyq8GaJICOlQ==,HH8Js7ecno2Mm0P1sJrIrA==,0.305,1
Xfb7Yez/4nONXOg7yHqK2Q==,CO/MQ/LRJnk/4Ob9coO4Pg==,0.305,1
KDwvV4AGqnfF34lnMXGnUw==,SJP2JOExSZtuiLyKTm5SDw==,0.305,1
Y6CIxyn5ETQ5fvIQLhQX6w==,Z9/RmKifixVAkIUZuauMmg==,0.26,0
1yXevUvu6Zw9wYtnlkic6A==,RNWPQWMcpHmPSclGLH9qkQ==,0.26,0
GlKeWRizeFWRWeKpmJxeVA==,qEgrE7D1gQhKWBymq4sPkg==,0.26,0
UeYqPE/MdMC8IsW5y97U+A==,O6RNK0uE79cwNqVEUQ8jTA==,0.26,0
fsccUwUEE/mfE0qBGmRr8w==,oqPDrFLrb/mS/hadlHKvnw==,0.26,0
tTyN8PQ/B/eNkuKazt2ckg==,mXfkt7FFZZKnAkbiTUvyIw==,0.26,0
V137/BSB5ovDBdAP7qNwkA==,GN9whlxMMaFhF62muofGNA==,0.26,0
RXuBVHgCSLFxwJvlDF6qHg==,Dxq8EY1Ixs/7/A99+kBAZQ==,0.35,1
ekxAFHjWAdSqvjj5RZvGQw==,iTWbaXCOspbDKELTpUgzGQ==,0.35,1
VrV8ZySRPaVPh2bPfrDfuA==,Oo+DFddQSMoB8a2VeQ1iRA==,0.35,1
7gK1DIUDjsIdW06VdUcw6g==,mX7eKiqpQoogFFmonuhLLQ==,0.305,1
fgkCNj2wuJxVUpn9On8bPw==,X/xf5YmL0VHVPVSxuyMXEg==,0.35,1
W+g+ZpVA4AhF3lXGq74gag==,8ozIoIx0r2lTMjM/sHkXQA==,0.26,0
YRIg1c5IrD2U2Te3LzW5hA==,IBOhF5kPbyWls4Zspo8JDQ==,0.305,1
fOz/qcaMFAP3lepIX90GlQ==,0nq9NBkGpPlp93aNHkLAdA==,0.35,1
MW0CuDHsHLFb5xK4//Q35w==,6fZhBLc3QIyw7F6g6xebjQ==,0.26,0
5dqT2WyqIq0Ph97f8x3qWw==,XIszI32RWInonZkzAZ8GgQ==,0.26,0
7TrXaXMk4/AAgaR8ZEGZDw==,9GclH5vnq0xWl5hx/BK5Lg==,0.35,1
Lk7fsyS8oBLX7HOQaEJh0A==,dt2olGgcX5js4H3QB+JfJg==,0.35,1
huyP1ksXhfx/JkuT62MTxg==,zgJw7Pr/TLrvtc0VbwAZow==,0.35,1
JnyVGprtrRctaBN0DH1rkQ==,WidakMuw2F7SPm0jWGOMHw==,0.26,0
EldV1kxNnxgony08BvewQg==,VY0kv1RgAhshtNw+sZ8Xsg==,0.26,0
dfhuuc4wpwqWAV4aaWGnig==,dvS7SSAqFhp1zL7tk3wNSA==,0.26,0
Qm1Zxw1RYWesqupo4P4J+g==,cFsGaqykQy15cEJ3lfVsPA==,0.35,1
RoUX6MoKW4LH9KhWPA/IPQ==,LQQx3SbUSh3LoAmSE6D1nQ==,0.35,1
G+3lz1+DhzIu6ByAHM3qOA==,fNb7/B6pU9mzLcOrtC1oiw==,0.35,1
lYTX2cIe+fn5E9USxocV9w==,c9tDAFqHSLe6xLf/JYJ/cA==,0.305,1
R+aO/cCufZ8+fhV+k65Rvg==,E6yQaa2ezBm/Lo2FX2RWEA==,0.35,1
p2W1+LyQwsDEdLQxqog96w==,JkOqOUamfsrpY6du781/JQ==,0.26,0
