user_id,msisdn,risk_score,high_risk,flag_sms_to_fraud,flag_sms_from_fraud,flag_called_by_fraud,is_international,flag_young_age
gfNEG5YuR6qNjKZ+NbsxvA==,JN6ozzA8T/PI4Gvb1t94xQ==,0.35,1,0,0,0,1,1
n/P0GHzdZf9I+Gekdn+Kxw==,TLYTgnjLRvVlL72GXHWEQQ==,0.305,1,0,0,0,1,0
g1NvIBhSsOyfMTF6ovGt9w==,qO4agQAhHt75q0UCvpiyuQ==,0.305,1,0,0,0,1,0
pRDV76vH8IUMyyG/BHxHAA==,1sDbiutOSz70eOri1fgmAg==,0.35,1,0,0,0,1,1
Hw4RPmdkEXleNZdEawx+Nw==,pfvaOvl5R3z3jXJtW2nPYw==,0.305,1,0,0,0,1,0
VtmXmeVqXThDwuJl90QCLA==,wd5Zsr9oLgKh42MootmcIQ==,0.35,1,0,0,0,1,1
3rPUL+QDFy9IFszR4Lt3og==,GXP78/+AZbpHAJdWRTS+dw==,0.35,1,0,0,0,1,1
jB2CLnaeSnE7uly8rqVgwg==,mTmH2uZP74CDvkbpiD0OMw==,0.35,1,0,0,0,1,1
hZl+gxBKKcWBBfmkQWvWcg==,I2f9dB4vF489Oamm+RO6pg==,0.35,1,0,0,0,1,1
d0q+UmNnZ35QQEAEV92JUA==,0GCAL9fXbSlYc4obvVxEtQ==,0.35,1,0,0,0,1,1
+l6ZzyOV089v2/r3ATLMbA==,g6XFC/G7r4GlrFbIUk6mEA==,0.305,1,0,0,0,1,0
HZM0OHgO5v9ReNFGGCjOWg==,uywBXtCDWZvdX2GDxw4azw==,0.305,1,0,0,0,1,0
UqaX1DwLdGl2H0K7am4YVQ==,kMHVCEhRSNT0ap360wb14A==,0.35,1,0,0,0,1,1
AxytUPy1aVt4+972YKLopw==,rH5ZoFq6W17BzQqmfpdJgQ==,0.35,1,0,0,0,1,1
1dAE8+bz5B1zkHNAe584Iw==,ePiI7tF9tc0W3Oh+TK3XpA==,0.305,1,0,0,0,1,0
KL+CURTKgmXqrX8v8lXzSg==,oIqPbHn9dCZyAq6HwtC4aQ==,0.305,1,0,0,0,1,0
wjPPt1/GNqaIBmWm+s/slg==,CCCSKk4aK4mp/6aG9XWLTQ==,0.305,1,0,0,0,1,0
EWdozzMTIo9nwKSzfjj/GQ==,Jkwo3UVCyDW0bFTt8VBnMg==,0.305,1,0,0,0,1,0
AAAENcLD+HCsdGtlTGfGFA==,gVJXhQoIVqPr/GYTzSNDPw==,0.305,1,0,0,0,1,0
rLESPK83p+yCRUv6qz2SjQ==,9CKDt8qijbS2EeUg/FVPwg==,0.305,1,0,0,0,1,0
ccrX0SYLN7LH8Gq/v2ybSA==,MAHOBoAUZzDK45LLq3P7Bw==,0.35,1,0,0,0,1,1
v2vDd1d/b1jyq8GaJICOlQ==,HH8Js7ecno2Mm0P1sJrIrA==,0.305,1,0,0,0,1,0
Xfb7Yez/4nONXOg7yHqK2Q==,CO/MQ/LRJnk/4Ob9coO4Pg==,0.305,1,0,0,0,1,0
KDwvV4AGqnfF34lnMXGnUw==,SJP2JOExSZtuiLyKTm5SDw==,0.305,1,0,0,0,1,0
RXuBVHgCSLFxwJvlDF6qHg==,Dxq8EY1Ixs/7/A99+kBAZQ==,0.35,1,0,0,0,1,1
ekxAFHjWAdSqvjj5RZvGQw==,iTWbaXCOspbDKELTpUgzGQ==,0.35,1,0,0,0,1,1
VrV8ZySRPaVPh2bPfrDfuA==,Oo+DFddQSMoB8a2VeQ1iRA==,0.35,1,0,0,0,1,1
7gK1DIUDjsIdW06VdUcw6g==,mX7eKiqpQoogFFmonuhLLQ==,0.305,1,0,0,0,1,0
fgkCNj2wuJxVUpn9On8bPw==,X/xf5YmL0VHVPVSxuyMXEg==,0.35,1,0,0,0,1,1
YRIg1c5IrD2U2Te3LzW5hA==,IBOhF5kPbyWls4Zspo8JDQ==,0.305,1,0,0,0,1,0
fOz/qcaMFAP3lepIX90GlQ==,0nq9NBkGpPlp93aNHkLAdA==,0.35,1,0,0,0,1,1
7TrXaXMk4/AAgaR8ZEGZDw==,9GclH5vnq0xWl5hx/BK5Lg==,0.35,1,0,0,0,1,1
Lk7fsyS8oBLX7HOQaEJh0A==,dt2olGgcX5js4H3QB+JfJg==,0.35,1,0,0,0,1,1
huyP1ksXhfx/JkuT62MTxg==,zgJw7Pr/TLrvtc0VbwAZow==,0.35,1,0,0,0,1,1
Qm1Zxw1RYWesqupo4P4J+g==,cFsGaqykQy15cEJ3lfVsPA==,0.35,1,0,0,0,1,1
RoUX6MoKW4LH9KhWPA/IPQ==,LQQx3SbUSh3LoAmSE6D1nQ==,0.35,1,0,0,0,1,1
G+3lz1+DhzIu6ByAHM3qOA==,fNb7/B6pU9mzLcOrtC1oiw==,0.35,1,0,0,0,1,1
lYTX2cIe+fn5E9USxocV9w==,c9tDAFqHSLe6xLf/JYJ/cA==,0.305,1,0,0,0,1,0
R+aO/cCufZ8+fhV+k65Rvg==,E6yQaa2ezBm/Lo2FX2RWEA==,0.35,1,0,0,0,1,1
hPeIgrTNtCxEzmZeiLfJpQ==,HqnWZ4HMCDM4lPrCTNtNFw==,0.35,1,0,0,0,1,1
RS0CjOiXY+/1FFcXG8jDlA==,VwyLkYbG8w/voZbrI3r5cg==,0.35,1,0,0,0,1,1
CcG/zwM5NMLOPlnrfV1Wiw==,sMKn9uQJoQzFRYwYJuthJg==,0.305,1,0,0,0,1,0
Stc80R3xwbr3lEXFcHbBqA==,Zqn/QrVhGgN6yZ6TaeEdqw==,0.36,1,0,0,0,1,0
cttJPFcfMWxuejVsTXsc6A==,EJXmS2Cdw4yCjbl+dPPw0w==,0.305,1,0,0,0,1,0
cIPOu33Ypa87WZLZgTdd/g==,jJaQI33n0uXgXN/1FxYxSg==,0.35,1,0,0,0,1,1
UKQqf2SqnRvp1U84MQPzIw==,tivTD7ZJDrSgpLAuSrvuyA==,0.305,1,0,0,0,1,0
uBNA2Tvyl9OG2U6qWzcW+w==,1xDVBCXlWbgGbRaVzLUjkQ==,0.35,1,0,0,0,1,1
gEtQ7Fq4PKRh4B2ERtwzhQ==,a3XQQeIBGXB7wmU7QbIl4w==,0.305,1,0,0,0,1,0
+uOQT4CDzQMRvq0smBBOYg==,HDp4Ojfv+c/yx9dkAwRLMA==,0.305,1,0,0,0,1,0
RoBbeFNUkKuvgVNRBz8Jzg==,Kp1SOlDPWomiS4HwpWCP5Q==,0.305,1,0,0,0,1,0
ErRRK1wOthdbnilLBLjgyw==,DNGmQVEMCtOK4+n5xrIKXA==,0.305,1,0,0,0,1,0
sjNrtnFQTwwRLSdpJ6fLew==,kculwV4/hR74nLmgv8+DCw==,0.305,1,0,0,0,1,0
5T8GzfeDmoNZKmCczldlHw==,MYOxHIG9YdUZ7ffb41p4mA==,0.305,1,0,0,0,1,0
RqQfEKm/MRtaN3InfGXUyw==,8ZYejCaWlHtND3v+KtMsjw==,0.305,1,0,0,0,1,0
/c0bnj5EJuv/naRN0czxsQ==,PWCUNCAAk0vrJJRDXGDRmw==,0.35,1,0,0,0,1,1
D/eGRzJGZSwbQPrq27noWg==,9oepgXy+fu0coHe2F77hvQ==,0.35,1,0,0,0,1,1
9GFlOI50LFMHmzHcXEH6FQ==,xEiJeoTNH1ivC0maqOAk7A==,0.35,1,0,0,0,1,1
LrEEtqUprRxsAMv0iWgc2g==,q9kjDKMDKbRDzJxBWugQeg==,0.35,1,0,0,0,1,1
I+OyyHoG7GUnn3R6wZkvsw==,ZVpol55PrqTluO1BJCI3xQ==,0.305,1,0,0,0,1,0
QWNZuz0oloVhbcB4Xt9LCQ==,cLLQcB0WWDPYAn1Gr4bXEg==,0.35,1,0,0,0,1,1
JoFWwOj1ZMiI9bLtRJEvaw==,xD9Vid092nCbDo9mSEYZ4w==,0.305,1,0,0,0,1,0
Uujt30NQMa5rZZ3MouSuPA==,+Omwz1AOExxfJ80zQLd3Aw==,0.305,1,0,0,0,1,0
OV8rgKalb7Sy5AnBSpQosw==,eGZ4rymCzBHxNhdy1l1jbA==,0.35,1,0,0,0,1,1
YZHX5zAirQ1e1CBV3tfqhQ==,U24gZxlxxpRRB4eHE6eRvQ==,0.305,1,0,0,0,1,0
